"capture_index","matrix_round","valid_for_matrix","port","placement","external_hr_median","external_spo2_median","exact_user_text","note"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","约70","约98","70bpm上下，98%上下","Vange confirmed all reported references use a stable median convention."
"2","2","True","COM7","RIGHT_THUMB_NORMAL","约71","约98","71bpm左右，98%左右","Vange confirmed all reported references use a stable median convention."
"3","0","False","COM6","LEFT_THUMB_NOT_RESET_ABORTED","","","未取参照；seq=123起步，立即作废","Invalid capture; no reference used."
"4","3","True","COM6","LEFT_THUMB_NORMAL","约71-75","约97-98","97-98%，71-75bpm","Vange confirmed all reported references use a stable median convention."
"5","4","True","COM7","LEFT_THUMB_NORMAL","约71","约98","98%，71bpm；用户确认此前及之后均为中位数口径","Vange confirmed all reported references use a stable median convention."
"6","5","True","COM6","RIGHT_THUMB_LIGHT_CONTACT","约70","约98-99","98-99%，70bpm","Vange confirmed all reported references use a stable median convention."
"7","6","True","COM7","RIGHT_THUMB_LIGHT_CONTACT","约68","约98","68bpm，98","Vange confirmed all reported references use a stable median convention."
"8","7","True","COM6","RIGHT_THUMB_FIRM_CONTACT","约73","约98-99","73bpm，98-99","Vange confirmed all reported references use a stable median convention."
"9","8","True","COM7","RIGHT_THUMB_FIRM_CONTACT","约74","约98","98，74bpm","Vange confirmed all reported references use a stable median convention."
