"capture_index","matrix_round","valid_for_matrix","port","placement","reset_method","external_hr_median","external_spo2_median","capture_started_local","capture_completed_local","command_duration_seconds","first_seq","total_frames","stable_frames","clean_hr_count","clean_hr_values","clean_hr_median","valid_spo2_count","valid_spo2_values","valid_spo2_median","false_lock_98_114_count","bad_valid_spo2_lt90_count","command_exit_code"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","USB_UART_CHIP_RESET_ON_OPEN","约70","约98","2026-08-31 17:52:06.178 +08:00","2026-08-31 17:53:56.695 +08:00","110.517","","22","13","8","68,68,69,71,71,73,73,73","71","7","95,99,99,99,99,99,100","99","0","0","0"
"2","2","True","COM7","RIGHT_THUMB_NORMAL","USB_UART_CHIP_RESET_ON_OPEN","约71","约98","2026-08-31 17:56:10.611 +08:00","2026-08-31 17:58:01.333 +08:00","110.722","","22","13","8","67,70,70,70,70,70,76,76","70","8","99,99,99,99,99,99,100,100","99","0","0","0"
"3","0","False","COM6","LEFT_THUMB_NOT_RESET_ABORTED","NO_RESET_CONFIRMED","","","2026-08-31 18:02:27.086 +08:00","2026-08-31 18:03:14.647 +08:00","47.561","","","","","","","","","","","","1"
"4","3","True","COM6","LEFT_THUMB_NORMAL","ESPTOOL_HARD_RESET","约71-75","约97-98","2026-08-31 18:06:38.859 +08:00","2026-08-31 18:08:33.631 +08:00","114.772","1","21","12","2","70,73","71.5","2","99,99","99","0","0","0"
"5","4","True","COM7","LEFT_THUMB_NORMAL","ESPTOOL_HARD_RESET","约71","约98","2026-08-31 18:10:38.806 +08:00","2026-08-31 18:12:30.512 +08:00","111.705","1","21","13","7","69,69,70,70,70,71,71","70","5","98,99,100,100,100","100","0","0","0"
"6","5","True","COM6","RIGHT_THUMB_LIGHT_CONTACT","ESPTOOL_HARD_RESET","约70","约98-99","2026-08-31 18:16:08.824 +08:00","2026-08-31 18:18:00.534 +08:00","111.71","1","21","13","7","68,68,71,71,71,71,71","71","6","99,99,99,99,100,100","99","0","0","0"
"7","6","True","COM7","RIGHT_THUMB_LIGHT_CONTACT","ESPTOOL_HARD_RESET","约68","约98","2026-08-31 18:19:54.571 +08:00","2026-08-31 18:21:46.297 +08:00","111.725","1","21","13","8","65,67,67,67,67,67,67,69","67","1","99","99","0","0","0"
"8","7","True","COM6","RIGHT_THUMB_FIRM_CONTACT","ESPTOOL_HARD_RESET","约73","约98-99","2026-08-31 18:24:21.453 +08:00","2026-08-31 18:26:13.121 +08:00","111.667","1","21","13","3","73,73,73","73","2","94,100","97","0","0","0"
"9","8","True","COM7","RIGHT_THUMB_FIRM_CONTACT","ESPTOOL_HARD_RESET","约74","约98","2026-08-31 18:28:08.533 +08:00","2026-08-31 18:30:00.250 +08:00","111.717","1","21","13","9","71,71,72,73,74,74,75,75,76","74","8","98,99,99,99,99,100,100,100","99","0","0","0"
